year	heading2	count	weight
1816	Madrid	14	0.010355029585798817
1816	Main	98	0.07248520710059171
1816	München	8	0.005917159763313609
1816	Neueste Nachrichten	0	0.0
1816	New York	2	0.0014792899408284023
1816	Oesterreich	3	0.0022189349112426036
1816	Paris	107	0.07914201183431953
1816	Rom	9	0.006656804733727811
1816	Schweiz	8	0.005917159763313609
1816	Spanien	0	0.0
1816	St. Petersburg	27	0.019970414201183433
1816	Stockholm	10	0.0073964497041420114
1816	Telegramme	0	0.0
1816	Telegraphische Coursberichte	0	0.0
1816	Telegraphische Witterungsberichte	0	0.0
1816	Theater	0	0.0
1816	Todes-Anzeige	19	0.014053254437869823
1816	Turin	0	0.0
